dateandtime,spdK/m,edge,vehDen
2022-12-20 4:2:0,45.49313911246343,:314508315_7,16
2022-12-20 4:2:0,51.00279496718064,:278877522_0,16
2022-12-20 4:2:0,2.7353622332220975,25584621#1,16
2022-12-20 4:2:0,55.650369284223316,25746705#2,16
2022-12-20 4:2:0,53.9474594587399,858935302,16
2022-12-20 4:2:0,37.831168350798734,675093183#3,16
2022-12-20 4:2:0,54.084710655934096,652130052,16
2022-12-20 4:2:0,52.07155179732411,:2349727142_0,16
2022-12-20 4:2:0,42.39669412561334,850927448,16
2022-12-20 4:2:0,37.53552449511042,:cluster_278875543_278875744_6574844061_6574844063_7,16
2022-12-20 4:2:0,57.01235026489294,37718131#0,16
2022-12-20 4:2:0,45.53857767165095,-28641593#1,16
2022-12-20 4:2:0,45.42363951311061,-35583936#5,16
2022-12-20 4:2:0,50.14329267496201,939250966#0-AddedOffRampEdge,16
2022-12-20 4:2:0,52.39064253749312,:888807595#1-AddedOnRampNode_0,16
2022-12-20 4:2:0,42.98915410517603,700673538,16
2022-12-20 4:3:0,42.21858898554204,765656384#1,17
2022-12-20 4:3:0,42.346064732198556,-29982392#1,17
2022-12-20 4:3:0,55.14221880913295,32691445#2-AddedOffRampEdge,17
2022-12-20 4:3:0,18.343897343846045,-182371968#6,17
2022-12-20 4:3:0,52.15863829805835,26195270#7-AddedOffRampEdge,17
2022-12-20 4:3:0,39.025425389573115,850927457,17
2022-12-20 4:3:0,46.79577703630047,669890458#16,17
2022-12-20 4:3:0,60.668766582136065,25746572#4,17
2022-12-20 4:3:0,47.63150132425118,37789102#15,17
2022-12-20 4:3:0,33.8688088369547,26253959#2,17
2022-12-20 4:3:0,25.205144569234484,:2265599317_4,17
2022-12-20 4:3:0,51.22303180239121,:314796650_7,17
2022-12-20 4:3:0,51.48451236555339,850927448,17
2022-12-20 4:3:0,44.623349002814905,-25746705#3,17
2022-12-20 4:3:0,51.0580359952869,700145115#2,17
2022-12-20 4:3:0,41.354433627453446,29982808#3,17
2022-12-20 4:3:0,32.78108197720175,-32692020#1,17
2022-12-20 4:4:0,22.23617543926803,-28641433#4,16
2022-12-20 4:4:0,43.778448513283344,894550195#2,16
2022-12-20 4:4:0,53.55465018296197,25584650#1,16
2022-12-20 4:4:0,45.901625885918456,765656384#3,16
2022-12-20 4:4:0,54.327329591525185,:669890462#15-AddedOffRampNode_0,16
2022-12-20 4:4:0,39.226853721259296,564577984#3-AddedOffRampEdge,16
2022-12-20 4:4:0,45.185899300262875,32659640#2,16
2022-12-20 4:4:0,46.247457114755996,182371968#1,16
2022-12-20 4:4:0,47.64123974258607,858935315,16
2022-12-20 4:4:0,48.649426376882545,-25746578#5,16
2022-12-20 4:4:0,36.93560954872313,-28616951#2,16
2022-12-20 4:4:0,52.68054290682064,-215629009#0,16
2022-12-20 4:4:0,50.06210794572191,:765656383#0-AddedOffRampNode_0,16
2022-12-20 4:4:0,41.79141379533434,700675428,16
2022-12-20 4:4:0,54.5241105112685,939250966#10,16
2022-12-20 4:4:0,47.05753743119744,701104139#4,16
2022-12-20 4:5:0,43.63661362076453,819221586#2-AddedOnRampEdge,15
2022-12-20 4:5:0,55.33132493606352,671744652#2,15
2022-12-20 4:5:0,46.04810819438817,26195270#6,15
2022-12-20 4:5:0,51.51231537051818,25746572#3,15
2022-12-20 4:5:0,36.30089083410355,25746572#6,15
2022-12-20 4:5:0,47.1808640434915,52244427#0,15
2022-12-20 4:5:0,47.557049077041334,858935302,15
2022-12-20 4:5:0,51.05859018309569,858935309,15
2022-12-20 4:5:0,48.56643476775621,32691561#7,15
2022-12-20 4:5:0,55.69630749503222,765656384#1,15
2022-12-20 4:5:0,24.864593357286108,:cluster_278876888_6104250209_4,15
2022-12-20 4:5:0,51.6711298062134,26195270#4,15
2022-12-20 4:5:0,42.427215714008604,700673538,15
2022-12-20 4:5:0,50.70840456759279,939250970,15
2022-12-20 4:5:0,48.22318594604936,700673538,15
2022-12-20 4:6:0,42.07710436999141,885610134#4,16
2022-12-20 4:6:0,55.370381571432134,765656381#3,16
2022-12-20 4:6:0,47.584184533973875,669890462#13,16
2022-12-20 4:6:0,52.46578630618139,:8244864142_0,16
2022-12-20 4:6:0,42.05059015203122,885610134#4,16
2022-12-20 4:6:0,35.18522895254883,765656381#2,16
2022-12-20 4:6:0,41.27251546755074,863793426#8,16
2022-12-20 4:6:0,48.08982233759004,25584535#4,16
2022-12-20 4:6:0,49.34986543291775,26729412#0,16
2022-12-20 4:6:0,47.1906105499692,669890458#14,16
2022-12-20 4:6:0,52.50697598118407,:2349727153_1,16
2022-12-20 4:6:0,42.20626412308623,-182371965#2,16
2022-12-20 4:6:0,22.935178385920874,25584525#22,16
2022-12-20 4:6:0,49.38755331358838,:8273122446_2,16
2022-12-20 4:6:0,44.141606429145725,29982808#3,16
2022-12-20 4:6:0,47.28299548158628,883292352#2,16
2022-12-20 4:7:0,45.42648013687036,819202035,15
2022-12-20 4:7:0,24.195742101430547,29982465,15
2022-12-20 4:7:0,29.66093925892328,25746544#3,15
2022-12-20 4:7:0,38.43533424587775,885610134#11,15
2022-12-20 4:7:0,32.41260980937794,26253959#2,15
2022-12-20 4:7:0,34.370221198161495,765656384#0,15
2022-12-20 4:7:0,48.84390550072078,32659640#2,15
2022-12-20 4:7:0,58.134711920521895,26206377#3,15
2022-12-20 4:7:0,6.679332180779595,-25584557#0,15
2022-12-20 4:7:0,40.16748260342364,:6570399057_0,15
2022-12-20 4:7:0,48.395216811508256,:8285673807_0,15
2022-12-20 4:7:0,40.33780966809118,217280770#5,15
2022-12-20 4:7:0,46.53255867382483,178336809#8,15
2022-12-20 4:7:0,50.42009127538155,41336031#4,15
2022-12-20 4:7:0,47.9576151347926,859375452,15
2022-12-20 4:8:0,42.7278173758117,939250973,17
2022-12-20 4:8:0,46.22054479466853,-182371959#1,17
2022-12-20 4:8:0,57.36618917335412,699691940#10,17
2022-12-20 4:8:0,48.63678705391632,25746572#4,17
2022-12-20 4:8:0,39.74223613025227,650705746,17
2022-12-20 4:8:0,41.002262005068765,700074885#7,17
2022-12-20 4:8:0,32.83913505580965,858935302,17
2022-12-20 4:8:0,20.406975629134514,:cluster_278875778_6574844055_4,17
2022-12-20 4:8:0,44.49855593475487,178336809#8,17
2022-12-20 4:8:0,48.478745042474536,939250966#0-AddedOffRampEdge,17
2022-12-20 4:8:0,59.111148856725286,765656383#1,17
2022-12-20 4:8:0,0.0,37718132#5,17
2022-12-20 4:8:0,42.96951011781429,858935302,17
2022-12-20 4:8:0,51.90511708806673,819585395#6,17
2022-12-20 4:8:0,39.19205537107918,32690631#4,17
2022-12-20 4:8:0,45.966036851443064,858935302,17
2022-12-20 4:8:0,36.89392015196185,699691940#3,17
2022-12-20 4:9:0,41.71850386048942,958778139#0,22
2022-12-20 4:9:0,20.951383865308017,-35584002#0,22
2022-12-20 4:9:0,49.598456847132105,885610137,22
2022-12-20 4:9:0,41.58929781535145,:669890462#15-AddedOffRampNode_0,22
2022-12-20 4:9:0,46.0657638546369,765656384#1,22
2022-12-20 4:9:0,42.22732850732785,765656384#0,22
2022-12-20 4:9:0,51.109571764202,772236620#11,22
2022-12-20 4:9:0,45.96656439215103,772236620#4,22
2022-12-20 4:9:0,46.01706526778868,939250971,22
2022-12-20 4:9:0,49.24204661276463,850927453#4-AddedOffRampEdge,22
2022-12-20 4:9:0,46.47823253702586,858935302,22
2022-12-20 4:9:0,40.83753597841452,700074885#17,22
2022-12-20 4:9:0,45.004788154303,52218015,22
2022-12-20 4:9:0,35.19461979001518,:8006886501_0,22
2022-12-20 4:9:0,33.64343837238287,32226001#2,22
2022-12-20 4:9:0,47.62155285995428,858935302,22
2022-12-20 4:9:0,36.041441391152965,26195270#6-AddedOffRampEdge,22
2022-12-20 4:9:0,46.803210201043285,700675428,22
2022-12-20 4:9:0,40.1687661383379,28582639#9-AddedOnRampEdge,22
2022-12-20 4:9:0,52.09558447937796,26285000#4,22
2022-12-20 4:9:0,39.356222879338596,701104139#3,22
2022-12-20 4:9:0,34.054522349948456,26195270#6-AddedOffRampEdge,22
2022-12-20 4:10:0,46.46066722163048,885610134#4,31
2022-12-20 4:10:0,47.8946015117315,:5282706980_0,31
2022-12-20 4:10:0,43.46076957505471,772236620#18,31
2022-12-20 4:10:0,50.58669133084971,859375452,31
2022-12-20 4:10:0,19.47629650420484,:8278995375_0,31
2022-12-20 4:10:0,49.2221353472815,564555056#8,31
2022-12-20 4:10:0,43.26503069437534,700084841#0,31
2022-12-20 4:10:0,46.07111179254096,863793425#8,31
2022-12-20 4:10:0,16.57417705287226,-699676382,31
2022-12-20 4:10:0,57.51966288027186,26203214#3-AddedOnRampEdge,31
2022-12-20 4:10:0,43.93654263691481,-25746588#8,31
2022-12-20 4:10:0,44.98885139245641,858935302,31
2022-12-20 4:10:0,54.017004484050446,858935302,31
2022-12-20 4:10:0,47.456777027429226,41336031#10,31
2022-12-20 4:10:0,42.63088152949928,819585395#10,31
2022-12-20 4:10:0,48.27913382670182,700673538,31
2022-12-20 4:10:0,45.68280092296117,669890458#7,31
2022-12-20 4:10:0,45.44467073825401,652130052,31
2022-12-20 4:10:0,33.03485705467838,:cluster_278875048_367215316_6574844029_6574844030_7,31
2022-12-20 4:10:0,54.60464260052624,28582639#5,31
2022-12-20 4:10:0,35.47535402569677,858915973#2,31
2022-12-20 4:10:0,36.14708280738813,858935309,31
2022-12-20 4:10:0,47.25912697104711,652130052,31
2022-12-20 4:10:0,37.15755144616847,858915973#2,31
2022-12-20 4:10:0,48.003570846894355,-32692001#1,31
2022-12-20 4:10:0,45.30508614571171,28582639#3,31
2022-12-20 4:10:0,38.947125105074015,939250966#0-AddedOffRampEdge,31
2022-12-20 4:10:0,55.93871991904768,650714381#0,31
2022-12-20 4:10:0,41.51689041678938,700673538,31
2022-12-20 4:10:0,43.11364186187246,32691561#4,31
2022-12-20 4:10:0,28.976646292096884,:858915973#2-AddedOnRampNode_0,31
2022-12-20 4:11:0,48.566138792541366,819202035,30
2022-12-20 4:11:0,50.349129578582705,765656383#0-AddedOffRampEdge,30
2022-12-20 4:11:0,44.808966457855576,765656384#0,30
2022-12-20 4:11:0,46.23250449159157,26195744#1,30
2022-12-20 4:11:0,48.01132340652394,-652088553#11,30
2022-12-20 4:11:0,44.620085642984655,772236620#3,30
2022-12-20 4:11:0,49.18805712996609,858935315,30
2022-12-20 4:11:0,46.223998622448036,26203214#4,30
2022-12-20 4:11:0,36.00944042943996,772236620#14,30
2022-12-20 4:11:0,59.980398806816154,700675428,30
2022-12-20 4:11:0,47.42859649944221,669890462#13,30
2022-12-20 4:11:0,52.942022340978035,858915973#2,30
2022-12-20 4:11:0,54.737894400903095,25584538#0,30
2022-12-20 4:11:0,48.92313329942818,:cluster_2349736003_280771621_442349880_442349881_4,30
2022-12-20 4:11:0,42.2013339429558,939250966#9,30
2022-12-20 4:11:0,36.31222826846268,699913212#6,30
2022-12-20 4:11:0,46.54922308029534,858915972#3,30
2022-12-20 4:11:0,45.71083877109205,25584650#3-AddedOffRampEdge,30
2022-12-20 4:11:0,55.80665626170779,26195270#6,30
2022-12-20 4:11:0,33.375211117209304,669890458#10,30
2022-12-20 4:11:0,37.92426861711216,-650705746,30
2022-12-20 4:11:0,47.57948121922996,858915972#4,30
2022-12-20 4:11:0,60.157011046056375,669890458#10,30
2022-12-20 4:11:0,48.44360435892602,:8235144867_1,30
2022-12-20 4:11:0,44.36229243512602,28582639#7-AddedOffRampEdge,30
2022-12-20 4:11:0,46.34364680942054,-26729412#0,30
2022-12-20 4:11:0,39.19535425355802,699913212#6,30
2022-12-20 4:11:0,43.01263775992178,:278877776_0,30
2022-12-20 4:11:0,48.4972623777916,32690631#5,30
2022-12-20 4:11:0,43.64364668032126,41669755#2,30
2022-12-20 4:12:0,46.46823716527078,25746578#3,29
2022-12-20 4:12:0,49.75066045604695,939250965#0,29
2022-12-20 4:12:0,46.96067824806994,26195270#4,29
2022-12-20 4:12:0,53.73703746682178,700074885#15,29
2022-12-20 4:12:0,47.60317472833183,26202694#1,29
2022-12-20 4:12:0,45.94531661393546,772236620#14,29
2022-12-20 4:12:0,50.01877223352528,858935309,29
2022-12-20 4:12:0,45.12873051350083,700675428,29
2022-12-20 4:12:0,36.859261087101146,37099917#2,29
2022-12-20 4:12:0,59.520032420678255,29982808#3-AddedOnRampEdge,29
2022-12-20 4:12:0,43.150129583357916,669890458#1,29
2022-12-20 4:12:0,56.60272312896373,37711813#5,29
2022-12-20 4:12:0,57.186725662504394,652130052,29
2022-12-20 4:12:0,51.27901930065188,700675428,29
2022-12-20 4:12:0,42.2259958434873,669890462#5,29
2022-12-20 4:12:0,25.03492392906071,-26206377#7,29
2022-12-20 4:12:0,47.629088023863,32226001#4,29
